p_id,name,price,colour,brand,ratingCount,avg_rating
17487194,Libas Women Beige & Mustard Yellow Zari Woven Design Straight Kurta Trousers Dupatta,4499,Beige,Libas,232,4.603448276
11636314,Shae by SASSAFRAS Women Blue & Off-White Printed Anarkali Kurta,1699,Blue,Shae by SASSAFRAS,5046,4.236821245
16706794,Varanga Floral Net I-Spy Lace Kurta Set,4999,Magenta,Varanga,54,3.574074074
17140538,Myshka Women Pink Floral Printed Pure Cotton Kurta with Sharara & Dupatta,6499,Pink,Myshka,78,3.935897436
14224616,Anouk Women Pink & Gold-Toned Ethnic Motifs Printed Gotta Patti Kurta,3099,Pink,Anouk,72,3.597222222
19145056,Baisacrafts Women Red Embroidered Pleated Pure Cotton Kurta with Churidar & Dupatta,4450,Red,Baisacrafts,,
15508918,Indo Era Women Yellow Floral Yoke Design Regular Kurta with Trousers & With Dupatta,6199,Yellow,Indo Era,714,4.144257703
17197472,heemara Women Purple Floral Embroidered Silk Chiffon Kurta with Trousers & With Dupatta,6599,Purple,heemara,638,4.012539185
13238316,Anouk Purple & White Striped Straight Kurta,1499,Purple,Anouk,511,4.043052838
3077373,HERE&NOW Women White Solid Straight Kurta,1599,White,HERE&NOW,2217,4.102841678
18859760,Ahalyaa Women Black Floral Pleated Pure Cotton Kurti with Trousers,5500,Black,Ahalyaa,11,3.181818182
16919764,Rustorange Women Mustard Yellow Floral Printed Angrakha Kurti with Sharara,3649,Mustard,Rustorange,67,4.208955224
16941854,Varanga Women Lavender Ethnic Motifs Printed Panelled Gotta Patti Pure Cotton Kurti with Sharara & With,6599,Lavender,Varanga,76,3.986842105
15889764,HERE&NOW Women Green & White Ethnic Motifs Printed Kurta,899,Green,HERE&NOW,226,4.10619469
8529019,Varanga Mustard Marigold Cotton Straight Kurta,2199,Yellow,Varanga,13947,3.839607084
17132180,Vishudh Women Black & Teal Blue Checked Pure Cotton Kurta with Palazzo & Dupatta,2399,Black,Vishudh,77,4.064935065
14967448,Indo Era Women Green Ethnic Motifs Printed Panelled Gotta Patti Pure Cotton Kurta with Trousers & With,4399,Green,Indo Era,215,4.227906977
14224394,Nayo Women Mustard Printed Straight Kurta With Plazzo  & Dupatta,3499,Mustard,Nayo,514,4.250972763
7156696,Vishudh Women White & Navy Blue Printed Anarkali Kurta,2149,White,Vishudh,3444,4.259872242
